SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532141,ANDHRA CEMEN,T ,Q,10.12,10.45,9.65,10.20,10.20,10.14,42,12180,120982.00,
532143,SKM EGG PROD,B ,Q,116.00,119.00,111.00,112.65,112.65,115.25,670,48355,5569996.00,
532144,WELCORP     ,A ,Q,141.15,142.10,133.55,135.50,135.50,142.60,421,43090,5944476.00,
532145,H.S.(I) LTD.,X ,Q,9.50,9.50,9.50,9.50,9.50,9.50,3,500,4750.00,
532149,BNK OF INDIA,A ,Q,99.90,102.90,98.50,99.35,98.90,99.90,2477,517183,51916367.00,
532150,INDRAPRAST  ,B ,Q,47.70,48.30,47.00,47.75,47.40,47.90,65,4112,196303.00,
532155,GAIL (I) LTD,A ,Q,342.65,345.95,341.60,344.30,345.95,342.65,2699,69531,23901065.00,
532156,VAIBHAVGBL  ,B ,Q,715.00,715.00,694.95,696.05,707.00,714.90,107,910,635510.00,
532160,GUJ.STAT.FIN,P ,Q,1.95,1.95,1.95,1.95,1.95,2.04,1,100,195.00,
532162,JK PAPER    ,B ,Q,149.10,151.45,147.15,148.45,148.45,148.55,687,73072,10909685.00,
532163,SAREGAMA (I),B ,Q,825.00,871.00,805.00,841.70,841.70,796.35,3325,83018,69772689.00,
532166,ALKA SECUR. ,XT,Q,0.39,0.39,0.39,0.39,0.39,0.38,7,5000,1950.00,
532172,ADROITINFO  ,B ,Q,29.10,30.00,28.30,28.55,28.55,30.95,34,86797,2476259.00,
532173,CYBERTECH   ,B ,Q,61.00,61.00,56.00,56.55,58.20,61.00,88,8579,494721.00,
532174,ICICI BANK  ,A ,Q,310.40,311.10,305.25,309.95,309.95,311.10,4311,362302,111770332.00,
532175,CYIENT      ,A ,Q,877.95,880.00,801.00,822.20,822.20,879.65,1208,30400,25584278.00,
